"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Pl_gender_minutes","Def_gender_verdict","Def_gender_judgement","Def_gender_minutes","Number_pl_verdict","Number_pl_judgement","Number_pl_minutes","Number_def_verdict","Number_def_judgement","Number_def_minutes","Trial_start_minutes","Trial_start_docket","verdict_date_verdict","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","Multiple_trials_note","Judge_initial_assignment_docket_header","Judge_initial_assignment_docket_entry","Magistrate_assignment_docket_header","Magistrate_assignment_docket_entry","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_time","Voir_dire_start","Voir_dire_end","Voir_dire_recess_length","Voir_dire_recess_times","VD_extras","Deliberation_time","Deliberation_time_flag","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Outcome_verdict","Outcome_judgement","Outcome_minutes","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable"
1800997,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,"03/27/2023","03/27/2023","03/31/2023","03/31/2023","03/31/2023",5,NA,"Judge Raymond P. Moore","Chief Judge Marcia S. Krieger","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Judge Raymond P. Moore","Judge Raymond P. Moore",8,NA,NA,7,3,3,143,"9:32 AM","12:29 PM",27,"10:34 AM to 11:01 AM","At 9:30 AM jury panel is present and preliminary remarks made by the Court before voir dire sworn at 9:32 AM; at end, 12:22 PM counsel exercise peremptory challenges before jury sworn and excused at 12:29 PM",215,NA,"NO","NO",3.9e+07,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
1801665,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"06/27/2022","06/27/2022","07/01/2022","07/01/2022","07/01/2022",5,NA,"Judge Raymond P. Moore","Senior Judge Wiley Y. Daniel",NA,"Magistrate Judge Nina Y. Wang","Judge Raymond P. Moore","Judge Raymond P. Moore",8,8,NA,6,3,3,91,"9:06 AM","11:46 AM",15,"10:35 AM to 10:50 AM","At the start of voir dire (9:06 AM): All jurors sworn for voir dire, attorneys and parties introduced, Court's statement of the case to jurors, Court advises jury panel regarding its jury selection practice, two jurors excused for cause (100425473, 100432266). At the end of voir dire (11:46 AM): Eight jurors sworn to try the case.",188,NA,"YES","NO",0,"defendant","defendant","defendant","defendant",NA,0,0,NA
1802076,"individual","individual","individual","individual","county, individual","individual","Female","Female","Female","Male","Male","Male",1,1,1,1,4,1,"10/03/2022","10/03/2022","10/04/2022","10/04/2022","10/04/2022",2,NA,"Chief Judge Daniel D. Domenico","Judge Wiley Y. Daniel","Magistrate Judge Cyrus Y. Chung","Magistrate Judge S. Kato Crews","Judge Daniel D. Domenico","Judge Daniel D. Domenico",7,7,NA,5,3,3,58,"09:41 AM","11:52 AM",13,"10:57 AM to 11:10 AM","At 11:43 AM bench conference regarding challenges for cause and there are none; challenges for cause and peremptory challenges recorded before jury sworn at 11:52 AM",77,NA,"YES","YES",8250000,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,5000000,NA
1901749,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"03/14/2022","03/14/2022","03/22/2022","03/22/2022","03/22/2022",7,NA,"Judge Regina M. Rodriguez","Judge Robert E. Blackburn","Magistrate Judge S. Kato zzz_Crews - MJ","Magistrate Judge S. Kato Crews","Judge Regina M. Rodriguez","Judge Regina M. Rodriguez",8,8,NA,1,3,3,60,"09:54 AM","11:18 AM",24,"10:50 AM to 11:14 AM","At the voir dire start timestamp (9:54 AM), voir dire by Court begins directly. At the voir dire end timestamp (11:18 AM), eight prospective jurors are selected to try the case; jurors sworn at 11:19 AM.",NA,"one or more days had unresolvable times — verify manually","NO","YES",1037700,"plaintiff","plaintiff","plaintiff","plaintiff","Plaintiff won on breach of contract ($1,027,500) and breach of implied duty of good faith and fair dealing ($10,200). Defendant's counterclaims all failed. National Tax's unjust enrichment counterclaim answered Yes but damages appear blank/illegible (recorded as $1). Net award favors plaintiff.",NA,0,NA
2000076,"individual","individual","individual","corporation","corporation","corporation","Female","Female","Female",NA,NA,NA,1,1,1,1,1,1,"09/27/2021","09/27/2021","09/30/2021","09/30/2021","09/30/2021",4,NA,"Judge R. Brooke Jackson","Judge R. Brooke Jackson","Magistrate Judge Scott T. Varholak","Magistrate Judge Scott T. Varholak","Judge R. Brooke Jackson","Judge R. Brooke Jackson",7,7,21,NA,3,3,46,"9:24 AM","10:10 AM",0,NA,"At the 9:24 AM timestamp, voir dire by the Court begins. At the 10:10 AM timestamp, seven jurors are sworn to try the case; no intervening events are noted between the timestamp and the swearing-in.",119,NA,"YES","YES",0,"defendant","defendant","defendant","defendant",NA,0,0,NA
2000627,"individual","individual","individual","school, individual","school, individual","school, individual","Female","Female","Female","Male","Male","Male",1,1,1,2,2,2,"03/13/2023","03/13/2023","03/16/2023","03/16/2023","03/16/2023",4,NA,"Judge Nina Y. Wang","Judge Robert E. Blackburn","Magistrate Judge Maritza Dominguez Braswell","Magistrate Judge Kathleen M. Tafoya","Judge Nina Y. Wang","Judge Nina Y. Wang",8,8,NA,4,3,3,91,"9:24 AM","11:38 AM",17,"10:55 AM to 11:12 AM","At the start timestamp (9:11 AM): Jury panel became present, Court made preliminary remarks and introduced staff, counsel, and parties, and jury panel was sworn for voir dire before voir dire by Court began at 9:24 AM. At the end timestamp (11:38 AM): Eight jurors were sworn to try the case.",157,NA,"YES","NO",0,"defendant","defendant","defendant","defendant","Verdict for defendant Jonathan Dehn on First Amendment retaliation claim (Q1: No). Verdict for defendant Pueblo School District No. 60 on breach of contract claim (Q5: No). Both claims resolved in favor of defendants.",0,0,NA
2001194,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"05/01/2023","05/01/2023","05/05/2023","05/05/2023","05/05/2023",5,NA,"Chief Judge Daniel D. Domenico","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Maritza Dominguez Braswell","Magistrate Judge Kathleen M. Tafoya","Judge Daniel D. Domenico","Judge Daniel D. Domenico",9,9,NA,5,3,3,63,"9:28 AM","11:47 AM",16,"10:38 AM to 10:54 AM","At the start timestamp (9:20 AM): Court in Session with jury present, appearances of counsel and parties, Court's opening remarks to prospective jurors. At 9:27 AM voir dire oath given before voir dire commenced at 9:28 AM. At the end timestamp (11:47 AM): Jury sworn to try the case.",154,NA,"NO","YES",2380000,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,1500000,NA
2101408,"individual","individual","individual","corporation","corporation","corporation","Female","Female","Female",NA,NA,NA,1,1,1,1,1,1,"09/23/2024","09/23/2024","09/25/2024","09/25/2024","09/25/2024",3,NA,"Chief Judge Daniel D. Domenico","Magistrate Judge S. Kato Crews","Magistrate Judge Susan Prose","Magistrate Judge S. Kato Crews","Judge Daniel D. Domenico","Judge Daniel D. Domenico",9,9,NA,2,3,3,56,"9:20 AM","11:36 AM",40,"10:39 AM to 11:19 AM","At the end of voir dire (11:33 AM session): Challenges for Cause listed, Peremptory challenges by Plaintiff listed, Peremptory challenges by Defendant listed; then at 11:36 AM jury sworn. At the start of voir dire (9:20 AM): no intervening events before voir dire commences.",246,NA,"NO","NO",28238.25,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
2101748,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"06/26/2023","06/26/2023","06/29/2023","06/27/2023","06/29/2023",4,NA,"District Judge Gordon P Gallagher","Judge Raymond P. Moore","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Judge Gordon P. Gallagher","District Judge Gordon P Gallagher",9,8,NA,8,3,3,87,"9:10 AM","12:01 PM",15,"10:11 AM to 10:26 AM","At 9:10 AM session start: jury panel present, court remarks to prospective jurors, introduction of counsel and parties, jury given oath by judge, then voir dire of prospective jurors by the Court began. At 12:01 PM: jury excused after jurors sworn, then further discussion and comments before court recessed at 12:03 PM.",170,NA,"YES","NO",413333.63,"plaintiff","plaintiff","plaintiff","plaintiff",NA,337112,0,NA
2102444,"individual","individual","individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"09/11/2023","09/11/2023","09/14/2023","09/14/2023","09/14/2023",4,NA,"Judge Charlotte N. Sweeney","Senior Judge Lewis T. Babcock","Magistrate Judge S. Kato zzz_Crews - MJ","Magistrate Judge S. Kato Crews","Judge Charlotte N. Sweeney","Judge Charlotte N. Sweeney",9,9,29,3,3,3,18,"08:51 AM","11:22 AM",13,"10:42 AM to 10:55 AM","At the voir dire end timestamp (11:22 AM), the nine jurors were sworn to try the case immediately upon selection.",NA,"one or more days had unresolvable times — verify manually","YES","NO",0,"defendant","defendant","defendant","defendant",NA,0,0,NA
501917,"corporation","corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"12/03/2007","12/03/2007","12/14/2007","12/14/2007","12/14/2007",10,NA,"Judge Richard P. Matsch","Judge Wiley Y. Daniel",NA,"Magistrate Judge Michael J. Watanabe","Senior District Judge Richard P. Matsch","Judge Richard P. Matsch",12,NA,NA,2,3,3,178,"08:36 AM","11:34 AM",0,NA,"At 8:36 AM: Statement of Case read to jurors by the Court; All jurors sworn for voir dire; Eighteen jurors called to the jury box — these occurred before 'Court voir dires jurors'. At 11:34 AM: Bench conference regarding passing jurors for cause; Counsel and Court agree to excuse juror for cause 100141606 — these occurred at the timestamp marking the end of voir dire.",NA,"one or more days had unresolvable times — verify manually","NO","NO",394410.21,"plaintiff","plaintiff","plaintiff","plaintiff",NA,0,0,NA
601016,"individual","individual","individual","individual","individual","individual","Male","Male","Male","Male","Male","Male",1,1,1,1,1,1,"11/05/2007","11/05/2007","11/06/2007","11/06/2007","11/06/2007",2,NA,"Judge Edward W. Nottingham","Judge Edward W. Nottingham","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B Shaffer","Chief Judge Edward W. Nottingham","Chief Judge Edward W. Nottingham",12,12,NA,1,3,3,66,"9:20 AM","10:26 AM",0,NA,"At 9:20 AM: Civil voir dire oath given to jury panel before voir dire by court commences. At 10:26 AM: Criminal jury oath given at the same timestamp as jurors sworn to try the case.",94,NA,"NO","YES",0,"defendant","defendant","defendant","defendant",NA,NA,0,NA
601142,"individual","individual","individual","city","city","city","Female","Female","Female",NA,NA,NA,1,1,1,1,1,1,"04/12/2010","04/12/2010","04/21/2010","04/21/2010","04/21/2010",7,NA,"Judge Walker D. Miller","Judge Walker D. Miller","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Senior Judge Walker D. Miller","Judge Walker D. Miller",8,6,NA,NA,3,3,76,"2:07 PM","3:43 PM",20,"2:37 PM to 2:57 PM",NA,239,NA,"YES","NO",0,"defendant","defendant","plaintiff","defendant",NA,0,0,NA
701355,"corporation","government, corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,"11/01/2010","11/01/2010","11/22/2010","11/22/2010","11/22/2010",15,NA,"Judge Lewis T. Babcock","Judge Lewis T. Babcock","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Judge Lewis T. Babcock","Judge Lewis T. Babcock",9,8,NA,1,3,3,52,"09:45 AM","10:37 AM",0,NA,"Bench conference at 10:28 AM occurred between voir dire start and voir dire completed timestamp",NA,"one or more days had unresolvable times — verify manually","NO","NO",4143416,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
701355,"corporation","government, corporation","corporation","corporation","corporation","corporation",NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,"11/19/2010","11/01/2010","11/22/2010","11/22/2010","11/22/2010",15,NA,"Judge Lewis T. Babcock","Judge Lewis T. Babcock","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Judge Lewis T. Babcock","Judge Lewis T. Babcock",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one or more days had unresolvable times — verify manually","NO","NO",4143416,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
800495,"individual","corporation","corporation","individual","individual, corporation","individual, corporation","Male",NA,NA,"Male","Male","Mixed",1,1,1,1,3,4,"04/12/2010","04/12/2010","11/06/2007","04/20/2010","04/20/2010",6,NA,"Judge Philip A. Brimmer","Judge Robert E. Blackburn","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Judge Philip A. Brimmer","Judge Philip A. Brimmer",9,9,NA,NA,3,3,39,"08:55 AM","10:50 AM",16,"10:25 AM to 10:41 AM","At 10:41 AM court session resumed and peremptory challenges were recorded before jurors were sworn at 10:50 AM",NA,"one or more days had unresolvable times — verify manually","NO","YES",0,"defendant","plaintiff","plaintiff","plaintiff",NA,0,0,NA
800996,"individual","individual","individual","individual","individual, corporation","individual","Mixed","Mixed","Mixed","Male","Male","Male",2,2,2,1,2,1,"03/15/2010","03/15/2010","03/18/2010","03/18/2010","03/18/2010",4,NA,"Judge Richard P. Matsch",NA,NA,NA,"Senior District Judge Richard P. Matsch","Judge Richard P. Matsch",12,10,NA,3,3,3,78,"08:52 AM","11:07 AM",0,NA,"Bench conference at 10:26 a.m. to 10:27 a.m. where counsel pass jurors for cause; peremptory challenges exercised; twelve jurors selected; court instructs jurors; jurors excused; court in recess 10:42 a.m. to 11:07 a.m. (not labeled as Court in Recess/Court in Session bolded recess pair within voir dire window per instructions, but recess did occur); jurors present at 11:07 a.m. before twelve jurors sworn",167,NA,"YES","NO",0,"defendant","defendant","defendant","defendant",NA,0,0,NA
900908,"individual","individual","individual","corporation","corporation","corporation","Female","Female","Female",NA,NA,NA,1,1,1,1,1,1,"10/03/2011","10/03/2011","10/06/2011","10/06/2011","10/06/2011",4,NA,"Judge Wiley Y. Daniel","Chief Judge Wiley Y. Daniel","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer","Chief Judge Wiley Y. Daniel","Chief Judge Wiley Y. Daniel",10,10,NA,3,3,3,183,"10:12 AM","1:16 PM",19,"11:43 AM to 12:02 PM","At the start timestamp (10:12 AM), voir dire by Court commences directly. At the end timestamp (1:16 PM), jury is sworn to try the case. Between 1:11 PM (Voir dire by Defendant ends) and 1:16 PM (Jury sworn), challenges for cause and peremptory challenges were recorded.",NA,"one or more days had unresolvable times — verify manually","YES","YES",0,"defendant","defendant",NA,"defendant",NA,0,0,NA
902413,"corporation","corporation","corporation","city, individual","city, individual","city",NA,NA,NA,"Male","Male",NA,1,1,1,2,2,1,"08/20/2012","04/14/2014","08/21/2012","08/29/2012","04/18/2014",7,"Two trial sequences: first trial August 2012 (Days 1-7, 8/20/2012-8/29/2012) ended with jury verdict in favor of defendants, which was subsequently reversed on appeal for the breach of contract claim; second trial April 2014 (Days 1-5, 4/14/2014-4/18/2014) ended with jury verdict in favor of plaintiff.","Judge Wiley Y. Daniel","Chief Judge Wiley Y. Daniel","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Chief Judge Wiley Y. Daniel","Judge Wiley Y. Daniel",10,10,NA,NA,3,3,117,"10:29 AM","02:25 PM",84,"12:10 PM to 01:34 PM","At 10:17 AM (start session): Court's opening remarks to prospective jurors. At 10:19 AM: Voir dire oath given. At 01:34 PM (after recess): Voir dire by Court continues before plaintiff and defendant voir dire at 1:49 PM and 1:52 PM respectively. Peremptory challenges occurred before jury sworn at 2:25 PM.",413,NA,"NO","NO",0,"defendant","defendant","plaintiff","plaintiff",NA,NA,0,NA
902413,"corporation","corporation","corporation","city, individual","city, individual","city",NA,NA,NA,"Male","Male",NA,1,1,1,2,2,1,"08/20/2012","04/14/2014","08/29/2012","08/29/2012","04/18/2014",7,"Two trial sequences: first trial August 2012 (Days 1-7, 8/20/2012-8/29/2012) ended with jury verdict in favor of defendants, which was subsequently reversed on appeal for the breach of contract claim; second trial April 2014 (Days 1-5, 4/14/2014-4/18/2014) ended with jury verdict in favor of plaintiff.","Judge Wiley Y. Daniel","Chief Judge Wiley Y. Daniel","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Chief Judge Wiley Y. Daniel","Judge Wiley Y. Daniel",10,10,NA,NA,3,3,117,"10:29 AM","02:25 PM",84,"12:10 PM to 01:34 PM","At 10:17 AM (start session): Court's opening remarks to prospective jurors. At 10:19 AM: Voir dire oath given. At 01:34 PM (after recess): Voir dire by Court continues before plaintiff and defendant voir dire at 1:49 PM and 1:52 PM respectively. Peremptory challenges occurred before jury sworn at 2:25 PM.",413,NA,"NO","YES",0,"defendant","defendant","plaintiff","plaintiff",NA,NA,0,NA
902434,"individual","individual","individual","individual","individual","individual","Female","Female","Female","Female","Female","Female",1,1,1,1,1,1,"01/14/2013","01/14/2013","01/15/2013","01/15/2013","01/15/2013",2,NA,"Judge William J. Martinez","Senior District Judge Miller","Magistrate Judge Michael J. Watanabe","Magistrate Judge Michael J. Watanabe","Judge William J. Martínez","Judge William J. Martinez",8,8,NA,2,3,3,62,"08:44 AM","09:46 AM",0,NA,"At 09:45 Voir dire completed; challenges for cause and peremptory challenges recorded; then at 09:46 Jury sworn to try case",NA,"one or more days had unresolvable times — verify manually","YES","NO",0,"defendant","defendant","plaintiff","defendant",NA,0,0,NA
1102557,NA,"federal agency",NA,NA,"corporation",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,"04/08/2013",NA,NA,"04/12/2013",NA,NA,"Senior Judge Christine M. Arguello","Senior District Judge Lewis T. Babcock","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer",NA,"Judge Christine M. Arguello",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plaintiff",NA,"plaintiff",NA,NA,NA,NA
1501068,NA,"individual","individual",NA,"corporation","corporation",NA,"Male","Male",NA,NA,NA,NA,1,1,NA,1,1,"01/09/2017","01/09/2017",NA,"01/12/2017","01/12/2017",4,NA,"Judge Lewis T. Babcock","Judge Lewis T. Babcock","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Judge Lewis T. Babcock","Judge Lewis T. Babcock",9,9,NA,2,3,3,51,"9:45 AM","10:36 AM",0,NA,"Before voir dire commenced at 9:45 AM: Court's opening remarks, Court advises jury panel regarding stipulated facts, Jurors sworn for voir dire, Fifteen jurors called to the jury box, Counsel introduce themselves and those seated at counsel tables.",210,NA,NA,NA,NA,NA,"defendant","defendant","defendant",NA,NA,NA,NA
1703070,NA,"individual","individual",NA,"corporation","corporation",NA,"Male","Male",NA,NA,NA,NA,1,1,NA,1,1,"04/15/2019","04/15/2019",NA,"04/19/2019","04/19/2019",5,NA,"Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix",8,NA,NA,0,2,2,50,"9:30 AM","10:25 AM",0,NA,"At the start timestamp (9:30 AM): Jury panel present, Court's preliminary statements to the jury, Jurors sworn for voir dire, Twelve jurors called to the jury box — all occurred before Voir dire by the Court began. At the end timestamp (10:25 AM): After jurors sworn to try the case, Court's preliminary instructions to the jury, Bailiff sworn, Jury sworn occurred before Court in recess.",216,NA,NA,NA,NA,NA,"plaintiff","plaintiff","plaintiff",NA,NA,NA,NA
501853,NA,"corporation, individual",NA,NA,"corporation",NA,NA,"Mixed",NA,NA,NA,NA,NA,6,NA,NA,1,NA,"03/12/2007","03/12/2007",NA,NA,"03/16/2007",NA,NA,"Judge Robert E. Blackburn","Judge Robert E. Blackburn","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B Shaffer","Judge Robert E. Blackburn","Judge Robert E. Blackburn",8,8,40,3,3,3,44,"9:23 AM","11:17 AM",10,"10:20 AM to 10:30 AM","At the start timestamp (9:23 AM), voir dire by the Court begins directly. At the end timestamp (11:17 AM), the jury panel is sworn immediately — no intervening events between the timestamp and the swearing-in. However, between 10:30 AM (court in session) and 11:17 AM, voir dire by Plaintiff began at 10:30 AM and voir dire by Defendant began at 10:50 AM, followed by excusals for cause and peremptory challenges before the jury was sworn.",NA,NA,NA,NA,NA,NA,"judgement as a matter of law",NA,"defendant",NA,NA,NA,NA
902977,NA,"corporation","corporation",NA,"corporation","corporation",NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,"06/27/2011","06/27/2011",NA,"07/07/2011","07/07/2011",7,NA,"Judge Robert E. Blackburn",NA,"Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Judge Robert E. Blackburn","Judge Robert E. Blackburn",9,NA,NA,1,3,3,83,"8:44 AM","11:07 AM",14,"10:11 AM to 10:25 AM","At 8:44 AM, civil voir dire oath given to jury panel precedes voir dire by court commences. At 11:07 AM, civil jury oath administered marks the end of voir dire.",NA,"one or more days had unresolvable times — verify manually",NA,NA,NA,NA,"plaintiff","plaintiff","plaintiff",NA,NA,NA,NA
